Product Name,Price,URL,Brand,Capacity,RAM Capacity,Network Type,SIM Card,Display Type,Display Resolution In Pixels,Display Size,Processor Chipset,Processor CPU,Operating System Version,Battery Capacity,Weight,WiFi,Bluetooth,Video Recording,Front Camera,Main Camera,Number Of Main Camera,Model Name,Color
"Samsung Galaxy S23 Ultra Dual SIM, 256GB, 12GB RAM, 5G - Creamy ( International Warranty )","39,300",https://www.rayashop.com/en/samsung-galaxy-s23-ultra-dual-sim-256-gb-12-gb-ram-5g-creamy-international-warranty,Samsung,256GB,12GB,5G,Dual SIM,"Dynamic AMOLED 2X,120Hz, HDR10+",1440x3088,6.8 Inch,Qualcomm SM8550-AC Snapdragon 8 Gen 2 (4 nm),Octa-core,"Android 13, upgradable to Android 14, One UI 6",5000 mAh,234 gram,Yes,Yes,"8K@24/30fps, 4K@30/60fps, 1080p@30/60/240fps, 1080p@960fps, HDR10+, stereo sound rec., gyro-EIS",12 MP,200 MP + 10 MP + 10 MP + 12 MP,Quad,Galaxy S23 Ultra,Creamy
"Samsung Galaxy A15 Dual SIM, 128GB, 4GB RAM, 4G LTE - Dark Blue","6,599",https://www.rayashop.com/en/samsung-galaxy-a15-dual-sim-128-gb-4-gb-ram-4g-lte-dark-blue-s150,Samsung,128GB,4GB,4G LTE,Dual SIM,Super AMOLED / 90Hz,1080 x 2340,6.5 Inch,Mediatek Helio G99 (6nm),Octa-core,"Android 14, One UI 6",5000 mAh,200 gram,Yes,Yes,1080p@30fps,13 MP,50 MP + 5 MP + 2 MP,Triple Camera,Galaxy A15,Dark Blue
"Samsung Galaxy A15 Dual SIM, 128GB, 4GB RAM, 4G LTE - Light Blue","6,599",https://www.rayashop.com/en/samsung-galaxy-a15-dual-sim-128-gb-4-gb-ram-4g-lte-light-blue-16,Samsung,128GB,4GB,4G LTE,Dual SIM,Super AMOLED / 90Hz,1080 x 2340,6.5 Inch,Mediatek Helio G99 (6nm),Octa-core,"Android 14, One UI 6",5000 mAh,200 gram,Yes,Yes,1080p@30fps,13 MP,50 MP + 5 MP + 2 MP,Triple Camera,Galaxy A15,Light Blue
"Samsung Galaxy A15 Dual SIM, 128GB, 6GB RAM, 4G LTE - Light Blue","7,199",https://www.rayashop.com/en/samsung-galaxy-a15-dual-sim-128-gb-6-gb-ram-4g-lte-light-blue-19,Samsung,128GB,6GB,4G LTE,Dual SIM,Super AMOLED / 90Hz,1080 x 2340,6.5 Inch,Mediatek Helio G99 (6nm),Octa-core,"Android 14, One UI 6",5000 mAh,200 gram,Yes,Yes,1080p@30fps,13 MP,50 MP + 5 MP + 2 MP,Triple Camera,Galaxy A15,Light Blue
"Samsung Galaxy A15 Dual SIM, 256GB, 8GB RAM, 4G LTE - Dark Blue","8,555",https://www.rayashop.com/en/samsung-galaxy-a15-dual-sim-256-gb-8-gb-ram-4g-lte-dark-blue-20,Samsung,256GB,8GB,4G LTE,Dual SIM,Super AMOLED / 90Hz,1080 x 2340,6.5 Inch,Mediatek Helio G99 (6nm),Octa-core,"Android 14, One UI 6",5000 mAh,200 gram,Yes,Yes,1080p@30fps,13 MP,50 MP + 5 MP + 2 MP,Triple Camera,Galaxy A15,Dark Blue
"Samsung Galaxy A15 Dual SIM, 128GB, 4GB RAM, 4G LTE - Dark Blue","6,605",https://www.rayashop.com/en/samsung-galaxy-a15-dual-sim-128-gb-4-gb-ram-4g-lte-dark-blue-20,Samsung,128GB,4GB,4G LTE,Dual SIM,Super AMOLED / 90Hz,1080 x 2340,6.5 Inch,Mediatek Helio G99 (6nm),Octa-core,"Android 14, One UI 6",5000 mAh,200 gram,Yes,Yes,1080p@30fps,13 MP,50 MP + 5 MP + 2 MP,Triple Camera,Galaxy A15,Dark Blue
"Samsung Galaxy A15 Dual SIM, 128GB, 4GB RAM, 4G LTE - Light Blue","6,605",https://www.rayashop.com/en/samsung-galaxy-a15-dual-sim-128-gb-4-gb-ram-4g-lte-light-blue,Samsung,128GB,4GB,4G LTE,Dual SIM,Super AMOLED / 90Hz,1080 x 2340,6.5 Inch,Mediatek Helio G99 (6nm),Octa-core,"Android 14, One UI 6",5000 mAh,200 gram,Yes,Yes,1080p@30fps,13 MP,50 MP + 5 MP + 2 MP,Triple Camera,Galaxy A15,Light Blue
"samsung Galaxy A15 Dual SIM, 256GB, 8GB RAM, 4G LTE - Light Blue","8,999",https://www.rayashop.com/en/samsung-galaxy-a15-dual-sim-256-gb-8-gb-ram-4g-lte-light-blue-32n,samsung,256GB,8GB,4G LTE,Dual SIM,"Super AMOLED, 90Hz",1080x2340,6.5 Inch,Mediatek Helio G99 (6nm),Octa-core,"Android 14, One UI 6",5000 mAh,200 gram,Yes,Yes,1080p@30fps,13 MP,50 MP + 5 MP + 2 MP,Triple Camera,Galaxy A15,Light Blue
"Samsung Galaxy A15 Dual SIM, 128GB, 6GB RAM, 4G LTE - Light Blue","7,195",https://www.rayashop.com/en/samsung-galaxy-a15-dual-sim-128-gb-6-gb-ram-4g-lte-light-blue-39,Samsung,128GB,6GB,4G LTE,Dual SIM,"Super AMOLED, 90Hz",1080x2340,6.5 Inch,Mediatek Helio G99 (6nm),Octa-core,"Android 14, One UI 6",5000 mAh,200 gram,Yes,Yes,1080p@30fps,13 MP,50 MP + 5 MP + 2 MP,Triple Camera,Galaxy A15,Light Blue
"Samsung Galaxy A15 Dual SIM, 128GB, 6GB RAM, 4G LTE - Yellow","7,240",https://www.rayashop.com/en/samsung-galaxy-a15-dual-sim-128-gb-6-gb-ram-4g-lte-yellow-40,Samsung,128GB,6GB,4G LTE,Dual SIM,"Super AMOLED, 90Hz",1080x2340,6.5 Inch,Mediatek Helio G99 (6nm),Octa-core,"Android 14, One UI 6",5000 mAh,200 gram,Yes,Yes,1080p@30fps,13 MP,50 MP + 5 MP + 2 MP,Triple Camera,Galaxy A15,Yellow
